timstamp,open,high,low,close
1642118400000,3240.61000000,3342.79000000,3188.00000000,3307.42000000
1642204800000,3307.42000000,3371.64000000,3261.00000000,3326.04000000
1642291200000,3326.51000000,3393.60000000,3269.62000000,3346.88000000
1642377600000,3346.89000000,3357.57000000,3141.10000000,3209.67000000
1642464000000,3209.68000000,3243.87000000,3082.00000000,3159.85000000
1642550400000,3159.85000000,3174.87000000,3000.00000000,3084.02000000
1642636800000,3084.02000000,3273.37000000,2987.15000000,3001.48000000
1642723200000,3001.48000000,3034.12000000,2403.00000000,2568.15000000
1642809600000,2567.47000000,2626.00000000,2300.00000000,2412.18000000
1642896000000,2412.18000000,2556.78000000,2370.80000000,2539.01000000
1642982400000,2539.00000000,2539.75000000,2159.00000000,2439.29000000
1643068800000,2439.56000000,2506.55000000,2348.96000000,2458.83000000
1643155200000,2459.04000000,2722.00000000,2402.03000000,2462.99000000
1643241600000,2463.00000000,2521.00000000,2316.43000000,2424.25000000
1643328000000,2424.02000000,2558.98000000,2357.88000000,2544.99000000
1643414400000,2544.99000000,2636.66000000,2520.01000000,2601.43000000
1643500800000,2601.43000000,2640.00000000,2542.50000000,2601.68000000
1643587200000,2601.67000000,2706.77000000,2476.07000000,2686.94000000
1643673600000,2686.94000000,2813.00000000,2673.52000000,2787.23000000
1643760000000,2787.48000000,2810.88000000,2612.72000000,2680.67000000
1643846400000,2680.25000000,2726.64000000,2576.05000000,2695.46000000
1643932800000,2695.21000000,2995.00000000,2671.40000000,2994.99000000
1644019200000,2994.99000000,3060.47000000,2958.01000000,3012.65000000
1644105600000,3012.64000000,3074.56000000,2950.21000000,3054.99000000
1644192000000,3055.00000000,3186.00000000,2991.80000000,3139.77000000
1644278400000,3139.77000000,3232.87000000,3025.21000000,3116.69000000
1644364800000,3116.69000000,3269.70000000,3055.00000000,3243.94000000
1644451200000,3243.60000000,3283.66000000,3056.74000000,3072.49000000
1644537600000,3072.36000000,3138.62000000,2879.00000000,2927.54000000
1644624000000,2927.54000000,2985.98000000,2858.30000000,2918.88000000
1644710400000,2918.58000000,2954.40000000,2836.70000000,2871.13000000
